bird,block,electrode,freq,hemi,r2,region,segment,site,weight_entropyspect,weight_entropytime,weight_fund,weight_maxAmp,weight_meanspect,weight_meantime,weight_q2,weight_sal,weight_skewspect,weight_skewtime,weight_voice2percent
GreBlu9508M,Site1,2,116,L,0.0874900686449,?,Call1,GreBlu9508M_Site1_Call1_L,0.0515678203168,0.158210232737,0.0897072723628,-0.0475876040119,-0.241216731325,0.597815897693,0.0180794558344,0.12499748364,-0.0593568852978,-0.207756219325,0.0851755647755
GreBlu9508M,Site1,2,132,L,0.207596550343,?,Call1,GreBlu9508M_Site1_Call1_L,-0.00208915941951,0.25706046805,0.0584184753368,0.0415805761808,-0.614643480855,1.0,0.19585499855,0.285519769877,-0.147154004123,-0.201889130188,0.0801546752797
GreBlu9508M,Site1,2,149,L,0.223187589328,?,Call1,GreBlu9508M_Site1_Call1_L,-0.208005390551,0.222499297768,0.0886637184725,0.0551135484082,-0.447083820776,0.971122049455,0.0451912893761,0.447040353176,-0.118418160007,-0.259197363703,0.0341938628801
GreBlu9508M,Site1,2,165,L,0.216232242593,?,Call1,GreBlu9508M_Site1_Call1_L,-0.186434275361,0.211264543234,0.131167141562,0.0605295644116,-0.612447183753,0.988390940131,0.00633201680586,0.48445010901,0.05709091211,-0.276857360545,0.0486864468822
GreBlu9508M,Site1,2,182,L,0.144438982668,?,Call1,GreBlu9508M_Site1_Call1_L,-0.185443268221,0.183846575586,0.0145211384985,-0.130009792771,-0.312001737941,0.66848444559,-0.0570706349409,0.434262525855,-0.0168392451145,-0.338848158191,-0.0950574169288
GreBlu9508M,Site1,3,0,L,0.0284301170136,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0335199424839,0.0449874958776,0.0907646649665,0.0694320735228,-0.113248928411,0.160156714089,0.0661007461027,0.0622875556697,-0.101870401996,-0.124341108116,0.0502087034929
GreBlu9508M,Site1,3,16,L,0.0,?,Call1,GreBlu9508M_Site1_Call1_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GreBlu9508M,Site1,3,33,L,0.117731950218,?,Call1,GreBlu9508M_Site1_Call1_L,-0.349007402728,0.100160020666,0.272835565256,0.169989445409,0.0809071847978,-0.203201791393,-0.479278065994,0.418790852447,0.135434622577,-0.167617775649,-0.0745106789807
GreBlu9508M,Site1,3,49,L,0.143341389849,?,Call1,GreBlu9508M_Site1_Call1_L,-0.315733348181,0.457410748279,0.100094182778,0.0152189471461,-0.00494042846701,0.0457059888589,-0.467203662001,0.405723823802,0.128401663109,-0.471519756577,-0.111873929628
GreBlu9508M,Site1,3,66,L,0.0752556172528,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0791908170182,0.360399709159,0.0407120844511,-0.0122571544255,-0.209038786499,0.265039548886,-0.187736229535,0.208140744705,0.0485467220578,-0.255496632865,0.0914555733274
GreBlu9508M,Site1,3,82,L,0.166408619954,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0320308109593,0.0881893821374,0.257314286391,0.163561822064,-0.570370343921,0.772355022162,0.0286028689798,0.257941906736,0.00581477393808,-0.258699565042,0.161744830293
GreBlu9508M,Site1,3,99,L,0.182025367737,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0653913998616,0.19762928433,0.0570736703844,0.1739798047,-0.398310781846,0.828231075229,0.0622821168257,0.287114670023,-0.0829598254092,-0.246224468574,0.164058481098
GreBlu9508M,Site1,3,116,L,0.123817416086,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0918773333094,0.179078572611,0.177056322868,0.0448467839243,-0.480008585852,0.601952938072,0.0752131339286,0.27823634478,-0.0560944950801,-0.0934155066702,0.126680713136
GreBlu9508M,Site1,3,132,L,0.0880213313724,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0610561568756,0.0826742863091,0.162821682216,0.10138805448,-0.500628364381,0.438409520331,0.0316344447906,0.287119189611,-0.0201749600249,0.107594902519,0.0703803360146
GreBlu9508M,Site1,3,149,L,0.0684113786992,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0602027575626,0.0859869529587,0.150865798452,0.114617760626,-0.263009868424,0.39674253881,0.050060784839,0.251021725441,-0.119500583408,-0.144470664993,0.107347540662
GreBlu9508M,Site1,3,165,L,0.0839863618918,?,Call1,GreBlu9508M_Site1_Call1_L,-0.130348272472,0.0394891000965,0.194022793006,0.134807746092,-0.307873939273,0.402962221143,0.110846062685,0.350851393937,-0.107727804759,-0.164908363608,0.0298316370931
GreBlu9508M,Site1,3,182,L,0.063536000966,?,Call1,GreBlu9508M_Site1_Call1_L,-0.191331042828,0.0281085714253,0.151246860588,0.0891478202524,-0.181141396619,0.268445013381,0.0317239835833,0.330295505221,-0.117523819259,-0.0776189545078,-0.027342495443
GreBlu9508M,Site1,4,0,L,0.106590947651,?,Call1,GreBlu9508M_Site1_Call1_L,-0.294334681177,0.282598841704,-0.101454281936,-0.351219703257,-0.0184995625813,0.0752993004725,-0.210600686395,0.390324924432,0.102635585184,-0.20688150322,-0.244694890567
GreBlu9508M,Site1,4,16,L,0.23598777707,?,Call1,GreBlu9508M_Site1_Call1_L,-0.645411417378,0.349423107488,-0.191802578928,-0.641766995673,0.0681778731699,-0.0320045746827,-0.547524791618,0.739924807793,0.23158528626,-0.261104861893,-0.411659093753
GreBlu9508M,Site1,4,33,L,0.25518831974,?,Call1,GreBlu9508M_Site1_Call1_L,-0.657552740805,0.382456134018,-0.189726234882,-0.623968681744,-0.10480804827,0.074939081865,-0.557052300485,0.788592078393,0.257640919746,-0.252547310277,-0.428655449173
GreBlu9508M,Site1,4,49,L,0.201050144345,?,Call1,GreBlu9508M_Site1_Call1_L,-0.510617428862,0.380976065623,-0.0924628623328,-0.46776158831,-0.264170655378,0.217480239025,-0.46793097697,0.714685231653,0.255492566262,-0.291556327436,-0.262888380487
GreBlu9508M,Site1,4,66,L,0.175127140492,?,Call1,GreBlu9508M_Site1_Call1_L,-0.339214656965,0.323114622083,-0.0132106268478,-0.316429620251,-0.452579223134,0.396301572896,-0.357838400731,0.599727923627,0.272024636478,-0.340505471273,-0.158667228474
GreBlu9508M,Site1,4,82,L,0.178711125163,?,Call1,GreBlu9508M_Site1_Call1_L,-0.31355239369,0.314203008229,-0.116122673123,-0.413555072417,-0.405596286577,0.567951418093,-0.376510980025,0.54753799908,0.246402902801,-0.351014563145,-0.201974021848
GreBlu9508M,Site1,4,99,L,0.055573511178,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0331632577469,0.119971513108,-0.0722590626295,-0.199613070077,-0.103412935744,0.269010810668,-0.18540054979,0.0665834412055,0.0998824399686,-0.294472489805,-0.10764713783
GreBlu9508M,Site1,4,116,L,0.0870411072875,?,Call1,GreBlu9508M_Site1_Call1_L,0.0309558304277,0.215794094441,-0.00672463350568,-0.129208548869,-0.396015761448,0.571443889093,-0.0684645782422,0.147103323068,0.124224631296,-0.170030197656,0.0159642412125
GreBlu9508M,Site1,4,132,L,0.21127975611,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0443619446435,0.369447574378,-0.0653723893425,-0.178702458999,-0.619435679924,0.90488417591,-0.0635915865956,0.408748370755,0.145640520511,-0.299905777878,-0.0255558322754
GreBlu9508M,Site1,4,149,L,0.174869418901,?,Call1,GreBlu9508M_Site1_Call1_L,-0.0784078145875,0.351562290472,0.0122859094119,-0.095358570434,-0.44253826817,0.800142639504,-0.0565977126997,0.389207604989,0.0630992643204,-0.298175378884,0.0205121894374
GreBlu9508M,Site1,4,165,L,0.157793481194,?,Call1,GreBlu9508M_Site1_Call1_L,-0.142057912441,0.268803374129,-0.00184138576165,-0.0965748869286,-0.449311211614,0.782436259734,-0.0705269708434,0.443187262318,0.0542488300796,-0.245760570691,-0.0590232096348
GreBlu9508M,Site1,4,182,L,0.109119716504,?,Call1,GreBlu9508M_Site1_Call1_L,-0.257350584747,0.165795363518,-0.0852197553728,-0.16193642974,-0.177185154614,0.386584296653,-0.0961559305972,0.423410343838,0.0569914532142,-0.372504479642,-0.153974919882
GreBlu9508M,Site1,5,0,L,0.102015243276,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.338342452019,0.338596528175,-0.100398297323,-0.336034412587,-0.0462845489368,0.227359015126,-0.290584648036,0.392872442495,0.150190170648,-0.291846704301,-0.240386745729
GreBlu9508M,Site1,5,16,L,0.163678266044,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.45236577536,0.42269803084,-0.242477640543,-0.498015501574,0.0274953480815,0.0223606384526,-0.43926427027,0.525552713728,0.19334558597,-0.360426484618,-0.376633584016
GreBlu9508M,Site1,5,33,L,0.23657307956,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.628627376096,0.415061651406,-0.202294791027,-0.574197123013,0.0528003396601,-0.0889782392948,-0.568126197108,0.724384519358,0.253617383306,-0.30840654459,-0.444693956551
GreBlu9508M,Site1,5,49,L,0.225768569134,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.588919219161,0.369482060928,-0.0838063821527,-0.509592584681,-0.154805177058,0.0805330370896,-0.554409570134,0.757710192299,0.295282330988,-0.337123661087,-0.343766184871
GreBlu9508M,Site1,5,66,L,0.192996028532,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.315876285583,0.455664906056,-0.0553034095921,-0.440945430127,-0.358751522909,0.388279254312,-0.448652344574,0.579912099286,0.236274929497,-0.274203670408,-0.216712025179
GreBlu9508M,Site1,5,82,L,0.218082687712,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.362965986,0.45366413023,-0.0824960837671,-0.56256844378,-0.26763080771,0.487423423238,-0.468499959397,0.650073670389,0.194715787007,-0.388414237943,-0.243973109481
GreBlu9508M,Site1,5,99,L,0.041682244612,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.115558486717,0.132877206566,-0.028564341375,-0.186294411947,-0.076379294788,0.145584757995,-0.117556361079,0.188840380491,0.0443074815006,-0.0544814394875,-0.0405684960326
GreBlu9508M,Site1,5,116,L,0.0319137172696,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.0452743934933,0.110611923823,0.0189514704906,-0.0824653136806,-0.103677319237,0.209777585285,-0.0710267590604,0.124640011911,0.0159924337963,-0.0894340909794,-0.010478641964
GreBlu9508M,Site1,5,132,L,0.143661527624,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.0732612647716,0.183397298395,0.183056323797,0.0804857327837,-0.366216610178,0.749343516092,0.0375134749678,0.247092717808,-0.0864497555098,-0.294447526072,0.108167817151
GreBlu9508M,Site1,5,149,L,0.13640388272,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.0711810150155,0.289890700214,0.205680704024,-0.026521184888,-0.417964907243,0.767204252305,0.0227508126207,0.309848388443,-0.0554463194787,-0.185529572949,0.14545362221
GreBlu9508M,Site1,5,165,L,0.112816951123,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.0356947492823,0.191053372551,0.168883616703,0.0572513735457,-0.372269747042,0.610705155505,0.080135254667,0.251144340317,-0.0283001115172,-0.064381339027,0.0490920306076
GreBlu9508M,Site1,5,182,L,0.0618516862764,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.112889881292,0.0723552862579,0.144285650814,-0.0559801758354,-0.319100285914,0.323293724392,-0.0931758791116,0.296685622434,0.0291514645044,-0.0168098638731,-0.000221338162399
GreBlu9508M,Site1,6,0,L,0.159916391513,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.382481096763,0.345593554831,-0.172197960094,-0.549955900579,0.0332486506666,-0.0142629115535,-0.451083826685,0.483342906359,0.229229292675,-0.195342539907,-0.260104304642
GreBlu9508M,Site1,6,16,L,0.273562182269,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.608597606607,0.389777803121,-0.276755665999,-0.728757775181,0.113730875151,-0.138210470555,-0.67910777322,0.698093385154,0.346122571388,-0.241540470677,-0.464778478443
GreBlu9508M,Site1,6,33,L,0.291149459291,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.736248078568,0.40782141995,-0.177921550828,-0.701228602176,0.0431797633403,-0.106022290939,-0.767895203198,0.844591134775,0.373092555481,-0.241514035632,-0.51517016713
GreBlu9508M,Site1,6,49,L,0.249641984739,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.643045532723,0.405447352489,-0.141840472724,-0.581607303037,-0.0486236103735,-0.0197661396419,-0.756289733,0.784212996372,0.374929115686,-0.23993254147,-0.472146217292
GreBlu9508M,Site1,6,66,L,0.163229328066,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.259928310935,0.342637046208,0.130931911741,-0.291452047717,-0.312421084264,0.275440979476,-0.479642937189,0.508791167394,0.270446247743,-0.376127730406,-0.148618253037
GreBlu9508M,Site1,6,82,L,0.165019411886,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.220837545104,0.377980240512,0.0198243358634,-0.413965053302,-0.346456974255,0.521661203188,-0.433989343687,0.42956122273,0.281281373701,-0.474220639783,-0.0819903319837
GreBlu9508M,Site1,6,99,L,0.0310465170981,HP,Call1,GreBlu9508M_Site1_Call1_L,0.0421843421971,0.153973111594,-0.0113180661637,-0.0588320077976,-0.0745048678567,0.18399676396,-0.08227646012,-0.0323312125072,0.0969109582261,-0.0498546888318,-0.043050049046
GreBlu9508M,Site1,6,116,L,0.041138517228,HP,Call1,GreBlu9508M_Site1_Call1_L,0.0841710583355,0.199981666626,-0.0663146489315,-0.142199592825,-0.161028572587,0.288245434516,-0.123479325235,0.00168511693033,0.0925852934682,-0.112251609097,-0.0631113443662
GreBlu9508M,Site1,6,132,L,0.119127030246,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.166989730286,0.212666052244,-0.104949647201,-0.204725389288,-0.278469484667,0.616049681466,-0.09328760252,0.311129163721,0.00585557562044,-0.174765872755,-0.049601311086
GreBlu9508M,Site1,6,149,L,0.0823484528862,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.220308217403,0.0894665918246,-0.0955695203991,-0.135137656992,-0.0266068684141,0.30783152909,-0.219077011882,0.308720993831,0.0306586262148,-0.304403971701,-0.0988872478055
GreBlu9508M,Site1,6,165,L,0.0746622325398,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.115256444694,0.0653879588133,-0.12373138318,-0.157956305537,0.166561880933,0.149587788353,-0.182903201119,0.119808036465,0.0138366539007,-0.333186818293,-0.0365938369552
GreBlu9508M,Site1,6,182,L,0.100133364568,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.341942595506,0.087451207363,-0.115215006468,-0.292163992615,0.243256675485,-0.0912370579866,-0.43465806699,0.338910724581,0.0719786734089,-0.305534214524,-0.241687552824
GreBlu9508M,Site1,7,0,L,0.104549316599,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.335398774367,0.126455966054,-0.0635693257691,-0.253153310107,-0.128498998761,0.143406885014,-0.212580023641,0.443517914076,0.124325302448,-0.135993855507,-0.279282365289
GreBlu9508M,Site1,7,16,L,0.183220034958,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.484137218915,0.314268799953,-0.183391371884,-0.452909458232,-0.0355573831095,-0.012114461351,-0.462418083614,0.575917240723,0.245184980422,-0.237997144688,-0.441157453431
GreBlu9508M,Site1,7,33,L,0.259285204813,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.658782042051,0.396167308993,-0.157546746555,-0.556452511799,-0.0474118991261,-0.0945813420547,-0.589360948553,0.806388510482,0.292717336879,-0.212984520872,-0.486791603453
GreBlu9508M,Site1,7,49,L,0.243239427092,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.542947903711,0.467671671161,-0.146023805934,-0.58238083592,-0.142149690032,0.0341791021092,-0.579793404531,0.731609361852,0.313284739313,-0.289877280946,-0.351869075287
GreBlu9508M,Site1,7,66,L,0.203574294809,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.397417084843,0.471488034015,0.0146157403634,-0.473515058277,-0.375439230086,0.240887351025,-0.457016310159,0.623743966137,0.284127715955,-0.298409413376,-0.179914759385
GreBlu9508M,Site1,7,82,L,0.213102917978,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.258295882192,0.461651762891,-0.0553066966517,-0.450559784675,-0.448865309099,0.570549618219,-0.367024017536,0.535796710254,0.199250143342,-0.342302600841,-0.0712403552504
GreBlu9508M,Site1,7,99,L,0.201229187501,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.339483321753,0.342192795323,-0.188385196165,-0.49072225052,-0.326511225286,0.546380283203,-0.45896256656,0.57555970736,0.345198823665,-0.433166252153,-0.230889958874
GreBlu9508M,Site1,7,116,L,0.163748356348,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.197671688445,0.483253389735,-0.0222827513188,-0.340704544915,-0.292439289436,0.684598626846,-0.206560815793,0.393541906556,0.124827877034,-0.335421726844,-0.0657676749275
GreBlu9508M,Site1,7,132,L,0.172677891331,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.294802551349,0.486351959994,-0.03306186103,-0.259244848156,-0.462183904932,0.598886384449,-0.229355639488,0.611749412806,0.198357172659,-0.215791993668,-0.0899892540644
GreBlu9508M,Site1,7,149,L,0.153938804896,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.143223796499,0.392057240628,0.0334445962935,-0.230097476416,-0.573520285773,0.575210642887,-0.0989248944872,0.437485299964,0.195715287306,-0.164687963783,0.0487440559247
GreBlu9508M,Site1,7,165,L,0.132399951197,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.158016966065,0.223928237226,-0.0243033695274,-0.215408939354,-0.453589861276,0.530059076129,-0.0988441753148,0.382123968437,0.154883963682,-0.241601700791,-0.0217166818537
GreBlu9508M,Site1,7,182,L,0.09607104861,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.184644103995,0.272249235952,-0.0559678442723,-0.305417360095,-0.204268777611,0.368602483301,-0.23418614547,0.355492344901,0.166061189952,-0.258453695115,-0.0692107181743
GreBlu9508M,Site1,8,0,L,0.179703425252,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.364642872677,0.377283833826,-0.192243173025,-0.590269575732,-0.062234962907,0.0243922085738,-0.48399191225,0.471553081687,0.31270809815,-0.237418427902,-0.246813545429
GreBlu9508M,Site1,8,16,L,0.26149362032,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.554315500358,0.406845742299,-0.276868119135,-0.716324723515,0.0997179014482,-0.121027210138,-0.709508974419,0.647132602966,0.380226146318,-0.253212212694,-0.436531947371
GreBlu9508M,Site1,8,33,L,0.278367310839,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.697674701228,0.415198631357,-0.160009424828,-0.66539823763,0.076529361639,-0.155772975743,-0.800975156184,0.794852002343,0.406675429053,-0.241312187979,-0.509019600385
GreBlu9508M,Site1,8,49,L,0.24538400321,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.671763498169,0.419192429297,-0.0788019302688,-0.553734271332,0.0284888846301,-0.098084957612,-0.81863450772,0.798064573808,0.400196611432,-0.264858224973,-0.452506364168
GreBlu9508M,Site1,8,66,L,0.150715157363,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.248128573136,0.373886913649,0.0813111613127,-0.29227236692,-0.276421391848,0.214614572449,-0.49792050777,0.441276263682,0.281307577697,-0.36095097778,-0.17798053099
GreBlu9508M,Site1,8,82,L,0.167247125686,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.204118442413,0.433184233427,-0.00976167147243,-0.367344055284,-0.346574174329,0.585502242763,-0.354656786506,0.460564483741,0.253030271945,-0.508690018474,-0.0727063336336
GreBlu9508M,Site1,8,99,L,0.0,HP,Call1,GreBlu9508M_Site1_Call1_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GreBlu9508M,Site1,8,116,L,0.0282966632503,HP,Call1,GreBlu9508M_Site1_Call1_L,0.0982078900826,0.117538033746,-0.00311070723824,-0.0864412624996,-0.139971159009,0.210649695212,-0.0464392825369,-0.0693277594852,0.0697918373458,-0.0757202264788,-0.02910168057
GreBlu9508M,Site1,8,132,L,0.0630658821218,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.0627666981874,0.0647564886749,-0.0950585289571,-0.150357357452,-0.136609955204,0.404519412505,-0.0434339662458,0.139945480905,-0.0143984726001,-0.0726816018419,-0.0571399292646
GreBlu9508M,Site1,8,149,L,0.0593795332963,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.152844546545,0.000668011196125,0.0286672797254,-0.059127747239,-0.0155302400786,0.224673914432,-0.152118692226,0.209428305439,-0.00396770488605,-0.244995746358,-0.0319749911028
GreBlu9508M,Site1,8,165,L,0.0423574337339,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.0882720511735,-0.0318561304901,-0.0117648196257,-0.0429212037702,0.0763601157382,0.0581383572545,-0.0869342545619,0.0828900673505,-0.005227786077,-0.16205210865,0.0208728502367
GreBlu9508M,Site1,8,182,L,0.0787675653563,HP,Call1,GreBlu9508M_Site1_Call1_L,-0.236449387899,-0.0629643160013,-0.144078858109,-0.236697009588,0.351382245724,-0.23265135069,-0.368873502276,0.166320871376,0.0505974249416,-0.16526535237,-0.177448895734
GreBlu9508M,Site1,9,0,L,0.0878034992297,NCM,Call1,GreBlu9508M_Site1_Call1_L,-0.234302345034,0.331417267071,0.103440677431,-0.214565911521,-0.150432477465,0.162434063961,-0.221974309914,0.31395971577,0.140007730676,-0.229466056808,-0.0528111797394
GreBlu9508M,Site1,9,16,L,0.202473937786,NCM,Call1,GreBlu9508M_Site1_Call1_L,-0.602088322834,0.390440587245,0.000391298073304,-0.430428714819,0.162865357827,-0.159108212662,-0.679561602363,0.63622363891,0.288154595922,-0.250781144764,-0.40299843962
GreBlu9508M,Site1,9,33,L,0.234649736078,NCM,Call1,GreBlu9508M_Site1_Call1_L,-0.600565412212,0.381844376647,0.0789496399324,-0.369970737153,0.276837415178,-0.437324988231,-0.831003340846,0.620660743412,0.377410091599,-0.212749497248,-0.406257710313
GreBlu9508M,Site1,9,49,L,0.162438479944,NCM,Call1,GreBlu9508M_Site1_Call1_L,-0.38585403372,0.4791024522,0.0185994456616,-0.413776138185,0.0911635637496,-0.132464265983,-0.6241765654,0.424366834488,0.336119282713,-0.298733827011,-0.189525928473
